stop_at,prob,reward,V
17,1.758883812450022e-09,0.9988931931233799,-0.9999999964841791
6,7.4988464986240585e-34,0.9345986644423371,-1.0
3,7.920289444106584e-15,0.36572331247016343,-0.9999999999999892
8,1.542889946628401e-223,0.9517179726144808,-1.0
7,2.1221730413695215e-62,0.8871027831634479,-1.0
6,8.616434978577784e-56,0.7538796016289544,-1.0
12,0.0,0.9994177322077569,-1.0
9,0.0,0.999883593018316,-1.0
4,3.471155452274444e-21,0.46561475011096476,-1.0
4,3.331702687453139e-21,0.46561475011096476,-1.0
7,4.822207544100047e-41,0.9619079163287174,-1.0
12,0.0,0.999883593018316,-1.0
14,0.0,0.9998253807963683,-1.0
17,0.0,0.999883593018316,-1.0
4,2.0597545666833574e-34,0.46561475011096476,-1.0
18,0.0,0.9998253807963683,-1.0
7,2.923721801057906e-14,0.9856847400256092,-0.9999999999999419
9,1.1517354950160188e-35,0.9140820750020814,-1.0
4,3.5458008065601586e-30,0.46561475011096476,-1.0
9,3.574338708580555e-50,0.9140820750020814,-1.0
7,9.04827612793217e-64,0.8871027831634479,-1.0
3,7.27847456016893e-39,0.9832947954556865,-1.0
3,2.5775357786465867e-22,0.36572331247016343,-1.0
9,9.199062296891017e-102,0.9956773984689558,-1.0
18,0.0,0.9995924736876228,-1.0
4,3.7298411744537924e-22,0.46561475011096476,-1.0
5,7.144951059375547e-34,0.886685733706899,-1.0
6,4.221214022014851e-14,0.7538796016289544,-0.999999999999926
4,6.309179065861374e-18,0.46561475011096476,-1.0
2,5.820938869841084e-25,0.07955970574210758,-1.0
24,0.0,0.999883593018316,-1.0
12,0.0,0.9981346916363658,-1.0
8,1.1043312884594478e-141,0.9772779422157103,-1.0
9,0.0,0.9983098179706722,-1.0
1,1.0,0.0,0.0
7,2.8584822881650295e-45,0.9619079163287174,-1.0
18,0.0,0.9998253807963683,-1.0
6,5.618757127859833e-44,0.7538796016289544,-1.0
10,7.164547024980173e-29,0.9447468556865277,-1.0
3,2.4500834528508645e-17,0.36572331247016343,-1.0
6,1.2351795575531277e-45,0.7538796016289544,-1.0
19,0.0,0.999883593018316,-1.0
2,0.999999999994543,0.07955970574210758,0.07955970573621651
4,1.2065961214537555e-20,0.46561475011096476,-1.0
8,8.096405692920293e-117,0.9319389658119877,-1.0
6,1.1157153474827283e-73,0.9535430752658827,-1.0
6,5.267549881046379e-33,0.9345986644423371,-1.0
18,0.0,0.999883593018316,-1.0
23,0.0,0.9997671627529073,-1.0
19,0.0,0.999883593018316,-1.0
16,0.0,0.999883593018316,-1.0
6,9.929524487805203e-34,0.9466556805711307,-1.0
14,0.0,0.9995924736876228,-1.0
9,6.742481394117462e-59,0.9140820750020814,-1.0
8,3.176818675391284e-80,0.9956773984689558,-1.0
6,8.81927684042125e-79,0.9535430752658827,-1.0
8,9.297596921242237e-201,0.9319389658119877,-1.0
7,7.623536333254815e-35,0.95316590194624,-1.0
17,0.0,0.9998253807963683,-1.0
13,5.6263337564862e-286,0.999883593018316,-1.0
19,0.0,0.9971413160804853,-1.0
1,1.0,0.0,0.0
14,9.949755313850578e-271,0.9997671627529073,-1.0
3,3.0790972305583826e-17,0.36572331247016343,-1.0
15,0.0,0.999883593018316,-1.0
4,3.4191225807324e-17,0.46561475011096476,-1.0
1,1.0,0.0,0.0
10,3.702023662208348e-107,0.9479250528283458,-1.0
19,0.0,0.9998253807963683,-1.0
6,2.7660998924040094e-20,0.9466556805711307,-1.0
5,7.066778699318676e-45,0.886685733706899,-1.0
19,0.0,0.999708938887351,-1.0
4,7.2010689290115e-24,0.46561475011096476,-1.0
9,2.477725629316818e-148,0.9733345982614575,-1.0
7,7.912428410200989e-280,0.931483780096834,-1.0
3,1.2157010131696329e-21,0.36572331247016343,-1.0
5,7.186383583008057e-33,0.886685733706899,-1.0
8,1.0669358794881085e-158,0.9517179726144808,-1.0
14,0.0,0.999883593018316,-1.0
3,5.174043900823261e-33,0.36572331247016343,-1.0
8,2.775772113726808e-55,0.8920879074310487,-1.0
17,0.0,0.9992429382975828,-1.0
6,1.7437206552726837e-34,0.9466556805711307,-1.0
27,0.0,0.999883593018316,-1.0
25,0.0,0.999883593018316,-1.0
6,7.681681584251383e-50,0.7538796016289544,-1.0
16,6.28130533598931e-244,0.9969658391430241,-1.0
5,7.346555852026422e-33,0.886685733706899,-1.0
6,6.599979441462946e-21,0.7538796016289544,-1.0
6,3.2951517007282706e-57,0.7538796016289544,-1.0
5,3.191166861646807e-26,0.886685733706899,-1.0
15,0.0,0.999883593018316,-1.0
16,0.0,0.999883593018316,-1.0
11,0.0,0.9998253807963683,-1.0
8,1.1763440994836154e-69,0.8920879074310487,-1.0
4,5.132583121689699e-28,0.46561475011096476,-1.0
6,5.274673396695928e-35,0.9535430752658827,-1.0
14,0.0,0.9997671627529073,-1.0
16,0.0,0.999708938887351,-1.0
6,1.277507671970977e-51,0.9535430752658827,-1.0
2,2.4911930719279165e-06,0.9691817281669832,-0.9999950943881214
7,6.644663089114385e-98,0.8871027831634479,-1.0
6,1.0450719966562874e-72,0.9823960987345308,-1.0
7,2.5563246621371778e-33,0.9828156582972463,-1.0
20,0.0,0.999708938887351,-1.0
13,0.0,0.9997671627529073,-1.0
5,2.899637235240119e-36,0.886685733706899,-1.0
11,7.058647326101076e-37,0.9460200417784062,-1.0
9,1.1156710081481314e-30,0.9140820750020814,-1.0
16,0.0,0.999883593018316,-1.0
4,5.895820179150543e-16,0.46561475011096476,-0.9999999999999991
12,1.0579458644968224e-124,0.9941510368568695,-1.0
13,0.0,0.999883593018316,-1.0
13,0.0,0.9976674311449034,-1.0
17,0.0,0.999883593018316,-1.0
6,4.1885406727221273e-19,0.7538796016289544,-1.0
6,4.025426279588745e-30,0.9931508833282191,-1.0
7,9.619887300705693e-153,0.931483780096834,-1.0
3,2.0449449509861115e-13,0.36572331247016343,-0.9999999999997207
5,1.2945105482687007e-48,0.886685733706899,-1.0
3,4.820209976443016e-13,0.36572331247016343,-0.9999999999993416
13,0.0,0.999883593018316,-1.0
6,1.3763440215487816e-60,0.7538796016289544,-1.0
17,0.0,0.999883593018316,-1.0
14,0.0,0.9998253807963683,-1.0
16,0.0,0.999883593018316,-1.0
4,3.4217148652443035e-27,0.46561475011096476,-1.0
6,2.627942668760414e-32,0.9345986644423371,-1.0
12,0.0,0.999883593018316,-1.0
14,0.0,0.9993012087608683,-1.0
1,1.0,0.0,0.0
10,0.0,0.9632086944937434,-1.0
7,2.370750623952656e-50,0.8871027831634479,-1.0
10,0.0,0.999883593018316,-1.0
17,0.0,0.999883593018316,-1.0
6,3.473256610985667e-21,0.9345986644423371,-1.0
