stop_at,prob,reward,V
6,0.0,0.9974921120656393,-1.0
8,0.0,0.9715669743306046,-1.0
3,0.0,0.6589756086220164,-1.0
3,0.0,0.6589756086220164,-1.0
5,0.0,0.901611022762091,-1.0
8,0.0,0.9877086900481016,-1.0
6,0.0,0.9469732616823857,-1.0
7,0.0,0.9734563145111484,-1.0
2,0.0,0.31760522631898813,-1.0
7,0.0,0.9734563145111484,-1.0
8,0.0,0.997316740382761,-1.0
12,0.0,0.9995342323522864,-1.0
4,0.0,0.7739214653757482,-1.0
11,0.0,0.9996507091991169,-1.0
11,0.0,0.999883593018316,-1.0
5,0.0,0.901611022762091,-1.0
6,0.0,0.956864962735605,-1.0
2,0.0,0.31760522631898813,-1.0
14,0.0,0.9996507091991169,-1.0
5,0.0,0.9796316746362842,-1.0
13,0.0,0.999708938887351,-1.0
11,0.0,0.999883593018316,-1.0
4,4.37736915373303e-310,0.7739214653757482,-1.0
3,0.0,0.6589756086220164,-1.0
5,0.0,0.901611022762091,-1.0
5,0.0,0.901611022762091,-1.0
3,0.0,0.9311584523082783,-1.0
12,0.0,0.999883593018316,-1.0
4,0.0,0.7739214653757482,-1.0
7,0.0,0.9937394148369615,-1.0
11,0.0,0.9997671627529073,-1.0
20,0.0,0.9998253807963683,-1.0
11,0.0,0.999883593018316,-1.0
6,0.0,0.956864962735605,-1.0
6,0.0,0.9533545168940601,-1.0
2,0.0,0.31760522631898813,-1.0
12,0.0,0.999883593018316,-1.0
3,0.0,0.6589756086220164,-1.0
13,0.0,0.999883593018316,-1.0
14,0.0,0.999883593018316,-1.0
18,0.0,0.999883593018316,-1.0
14,0.0,0.999883593018316,-1.0
6,0.0,0.988362025466247,-1.0
8,0.0,0.9973752034562072,-1.0
12,0.0,0.9998253807963683,-1.0
6,0.0,0.9186083517167094,-1.0
2,0.0,0.31760522631898813,-1.0
3,0.0,0.6589756086220164,-1.0
7,0.0,0.9790290283311192,-1.0
12,0.0,0.999883593018316,-1.0
4,0.0,0.877799228481268,-1.0
7,0.0,0.9734563145111484,-1.0
8,0.0,0.9820962334703945,-1.0
3,0.0,0.7847569073398788,-1.0
3,0.0,0.6589756086220164,-1.0
2,0.0,0.31760522631898813,-1.0
12,0.0,0.9992429382975828,-1.0
3,0.0,0.7847569073398788,-1.0
3,0.0,0.7847569073398788,-1.0
3,0.0,0.9311584523082783,-1.0
3,0.0,0.6589756086220164,-1.0
9,0.0,0.9862211613699553,-1.0
3,0.0,0.6589756086220164,-1.0
3,0.0,0.7847569073398788,-1.0
11,0.0,0.9990680919413693,-1.0
10,0.0,0.9914408100321469,-1.0
3,0.0,0.6589756086220164,-1.0
13,0.0,0.9997671627529073,-1.0
15,0.0,0.9998253807963683,-1.0
3,0.0,0.6589756086220164,-1.0
8,0.0,0.9715669743306046,-1.0
13,0.0,0.999883593018316,-1.0
3,0.0,0.9311584523082783,-1.0
3,0.0,0.7847569073398788,-1.0
16,0.0,0.9998253807963683,-1.0
5,0.0,0.9536687494243686,-1.0
4,0.0,0.877799228481268,-1.0
3,2.5696685963791012e-278,0.6589756086220164,-1.0
4,0.0,0.877799228481268,-1.0
9,0.0,0.9997671627529073,-1.0
11,0.0,0.9991846620069597,-1.0
8,0.0,0.9966732605706132,-1.0
3,0.0,0.6589756086220164,-1.0
11,0.0,0.9995924736876228,-1.0
14,0.0,0.999708938887351,-1.0
3,0.0,0.6589756086220164,-1.0
14,0.0,0.999708938887351,-1.0
