stop_at,prob,reward,V
3,0.9928130803222881,0.6224593312018545,0.6107988463081526
3,0.11053267744188679,0.83470382332888,-0.7972052740945925
4,0.9451580467540831,0.7697627836518095,0.6727055358144132
1,1.0,0.0,0.0
3,0.945089089101409,0.6224593312018545,0.5333686114296419
1,1.0,0.0,0.0
2,0.9995695751427951,0.83470382332888,0.8339141211977104
1,1.0,0.0,0.0
2,0.7756962007878285,0.83470382332888,0.42317278532711544
1,1.0,0.0,0.0
2,0.9999833712398287,0.83470382332888,0.8346733144790164
4,0.9543434750010168,0.8944524641639899,0.8079583478745014
