stop_at,prob,reward,V
2,0.9999999973702671,0.005010743965117692,0.005010741322207801
3,0.9999658473317816,0.019534945098964807,0.019500125260247803
23,0.9653705111606987,0.5359854584173964,0.48279506712780207
1,1.0,0.0,0.0
9,0.9961748999945637,0.20806624160581078,0.20344526741847702
5,0.9840766087990033,0.14323792882205755,0.12503370404560665
1,1.0,0.0,0.0
23,0.0011765585203749765,0.5359854584173964,-0.998192823221727
29,6.58853940452577e-11,0.9273785808397154,-0.9999999998730139
1,1.0,0.0,0.0
27,0.0009822240985772,0.6019240172682067,-0.9984265516261496
7,0.9952836831007306,0.14680884677478878,0.14140013283051323
2,0.999061593135111,0.005010743965117692,0.004067634983693669
1,1.0,0.0,0.0
2,0.9999993794538617,0.005010743965117692,0.005010120309581589
2,0.9982699224578623,0.005010743965117692,0.0032719974473764957
13,3.4696236229819303e-06,0.997208528243443,-0.9999930704381104
1,1.0,0.0,0.0
1,1.0,0.0,0.0
17,0.00014415466830029175,0.4472515450110355,-0.9997913719335818
5,4.181066187057082e-11,0.14323792882205755,-0.9999999999522005
23,0.9946810213910988,0.5359854584173964,0.527815584620491
13,0.9910174106733454,0.3073082090248114,0.2955651962597772
13,0.9979711231957786,0.3073082090248114,0.30465584172355276
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
3,0.1573432885964413,0.019534945098964807,-0.8395830188991367
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
12,0.00019329026569242554,0.9958465152086022,-0.999614222296794
1,1.0,0.0,0.0
10,0.9995451595371232,0.2091554652467884,0.2086054924152856
24,0.9876753121071513,0.5526094781139879,0.5334740508767544
16,0.9987720969699216,0.41654488105195164,0.41480550130026606
8,0.9996691015843602,0.14813617832501957,0.1477562618826731
2,0.9999953476479895,0.005010743965117692,0.00500606830136241
13,0.9938326391314435,0.3073082090248114,0.299245567533329
1,1.0,0.0,0.0
13,8.604141604894057e-10,0.3073082090248114,-0.9999999988751735
6,0.9996670398072055,0.14464456203283715,0.14426344095878152
23,0.9905783224683723,0.5359854584173964,0.5215138987349184
19,0.9929648425040096,0.956312073054821,0.9425491095095728
4,0.9999812208975646,0.0319187218685234,0.03189934336114031
8,0.9951465411449677,0.14813617832501957,0.1425637466235452
18,0.9993163891739084,0.44890026634234315,0.44790978243434454
9,0.9999077474666302,0.20806624160581078,0.20795479443454412
3,0.9996245162634789,0.019534945098964807,0.019152126308265238
18,9.512036069642124e-06,0.44890026634234315,-0.9999862180084053
18,0.9994078769640643,0.44890026634234315,0.4480423391178685
8,4.145705511980837e-06,0.14813617832501957,-0.999995240165517
5,0.9998085886910492,0.14323792882205755,0.14301910015365937
3,0.9996652159197523,0.019534945098964807,0.01919362103008959
1,1.0,0.0,0.0
4,0.9999476701175615,0.0319187218685234,0.03186472168312182
1,1.0,0.0,0.0
23,0.9956968871152261,0.5359854584173964,0.5293759396004551
23,0.1471506985383236,0.5359854584173964,-0.7739786668491729
16,0.9988941649182035,0.41654488105195164,0.41497841602754515
2,0.9999998690410209,0.005010743965117692,0.005010612349936716
18,0.9919705202293841,0.44890026634234315,0.4372663509641075
19,0.9967046967067438,0.956312073054821,0.9498654314378465
8,0.9999995254019847,0.14813617832501957,0.1481356334218682
28,0.935674966617003,0.8878472949022905,0.7664114546356999
18,0.9932263545133773,0.44890026634234315,0.4390859295926668
11,1.0846970343105427e-12,0.2992966611203679,-0.9999999999985907
1,1.0,0.0,0.0
1,1.0,0.0,0.0
4,0.997952429363548,0.0319187218685234,0.029805795394420187
29,0.047472632613046024,0.9273785808397154,-0.9085022647255422
16,0.9570982798799398,0.41654488105195164,0.3557726690275569
3,0.9999975116300328,0.019534945098964807,0.01953240811882684
